date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-04-30",utla,W06000023,Powys,6
"2020-07-12",utla,N09000007,Lisburn and Castlereagh,0
"2020-06-21",utla,W06000014,Vale of Glamorgan,1
"2020-06-20",utla,W06000014,Vale of Glamorgan,3
"2020-06-19",utla,W06000014,Vale of Glamorgan,1
"2020-04-29",utla,W06000023,Powys,8
"2020-04-28",utla,W06000023,Powys,1
"2020-04-27",utla,W06000023,Powys,5
"2020-04-26",utla,W06000023,Powys,1
"2020-07-11",utla,N09000007,Lisburn and Castlereagh,0
"2020-04-25",utla,W06000023,Powys,2
"2020-06-18",utla,W06000014,Vale of Glamorgan,3
"2020-04-24",utla,W06000023,Powys,3
"2020-06-17",utla,W06000014,Vale of Glamorgan,5
"2020-04-23",utla,W06000023,Powys,3
"2020-06-16",utla,W06000014,Vale of Glamorgan,1
"2020-09-20",utla,N09000003,Belfast,25
"2020-06-15",utla,W06000014,Vale of Glamorgan,5
"2020-09-19",utla,N09000003,Belfast,46
"2020-06-14",utla,W06000014,Vale of Glamorgan,5
"2020-04-22",utla,W06000023,Powys,3
"2020-06-13",utla,W06000014,Vale of Glamorgan,9
"2020-07-05",utla,S12000039,West Dunbartonshire,0
"2020-07-10",utla,N09000007,Lisburn and Castlereagh,0
"2020-04-21",utla,W06000023,Powys,7
"2020-09-18",utla,N09000003,Belfast,53
"2020-07-04",utla,S12000039,West Dunbartonshire,0
"2020-04-20",utla,W06000023,Powys,3
"2020-09-17",utla,N09000003,Belfast,32
"2020-04-19",utla,W06000023,Powys,3
"2020-06-12",utla,W06000014,Vale of Glamorgan,6
"2020-04-18",utla,W06000023,Powys,15
"2020-06-11",utla,W06000014,Vale of Glamorgan,2
"2020-10-10",utla,E06000009,Blackpool,47
"2020-10-09",utla,E06000009,Blackpool,62
"2020-09-16",utla,N09000003,Belfast,40
"2020-10-08",utla,E06000009,Blackpool,72
"2020-10-07",utla,E06000009,Blackpool,64
"2020-09-15",utla,N09000003,Belfast,29
